"indicator","subtopic","short.description","population","year","group","female","female.low.CI","female.high.CI","male","male.low.CI","male.high.CI","total","total.low.CI","total.high.CI","estimated.number","estimated.number.low.CI","estimated.number.high.CI"
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Least (1-3)",4.4,2.4,7.3,2.7,1,5.9,3.5,1.9,6,34000,18000,57000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Mid (4-7)",12.3,8.8,16.6,9.9,6.6,14,11.1,8.5,14.3,167000,127000,214000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Most (8-10)",20.1,15.6,25.3,13.7,9.7,18.5,17,13.6,20.9,179000,143000,220000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Total",12.6,10.4,15,9,7.1,11.1,10.8,9.3,12.6,379000,325000,441000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"15-24",23.2,14.9,33.2,9.5,6.1,13.8,16.2,11.6,21.6,101000,72000,135000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"25-44",14.4,10.9,18.5,12,8.1,16.8,13.2,10.3,16.7,151000,118000,191000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"45-64",8.8,6.2,12.1,6.6,4.1,10.1,7.8,5.9,10.1,86000,65000,112000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"65+",5.9,3.2,9.8,7.2,3.6,12.7,6.5,4.2,9.6,41000,26000,60000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Non-gambler",8.8,5.5,13.1,8.3,5.1,12.5,8.5,6.2,11.4,90000,66000,120000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Non-problem gambler",13,10.4,16,7.8,5.8,10.2,10.6,8.7,12.7,241000,198000,290000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Low-risk gambler",28.4,9.3,55.7,28.7,11.3,52.6,28.6,15.4,45.1,27000,15000,43000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Moderate-risk or problem gambler",NA,NA,NA,NA,NA,NA,34.1,17.2,54.7,16000,8000,25000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Maori",32.3,25.7,39.5,26.2,19.6,33.6,29.4,24.5,34.7,133000,111000,157000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Pacific",20.6,13.9,28.7,15.8,10.1,23.2,18.3,13.7,23.7,38000,28000,49000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"Asian",12.2,5.1,23.5,3.6,0.7,10.2,8.2,4,14.5,33000,16000,58000
"ind_17","Gambling harm","Household-level gambling harm","adults",2012,"European/Other",10.8,8.4,13.5,6.7,4.7,9.2,8.8,7.2,10.8,252000,204000,306000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Least (1-3)",2.9,1.3,5.5,3.7,1.6,7,3.3,1.9,5.2,38000,22000,60000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Mid (4-7)",6.5,4.1,9.8,4.8,2.7,7.9,5.7,3.9,7.9,88000,60000,124000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Most (8-10)",7.3,5,10.2,9.7,4.2,18.3,8.4,5.5,12.2,74000,48000,107000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Total",5.5,4.2,7.2,5.5,3.7,7.9,5.5,4.4,7,2e+05,159000,250000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"15-24",5.6,2.1,11.6,3.3,1.3,6.7,4.4,2.3,7.5,28000,15000,49000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"25-44",7.3,4.8,10.6,7.4,3.7,12.9,7.4,5,10.4,86000,58000,121000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"45-64",6.5,4,9.9,7,3.3,12.9,6.8,4.5,9.7,74000,49000,106000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"65+",1.2,0.4,2.9,2.2,0.7,5.2,1.7,0.7,3.2,12000,5000,22000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Non-gambler",4.4,2.2,7.9,3.7,2,6.2,4.1,2.6,6.1,44000,28000,65000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Non-problem gambler",5,3.4,7.1,4.8,2.8,7.6,4.9,3.6,6.5,115000,84000,154000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Low-risk gambler",15.7,4.9,34,12,1.7,35.7,13.6,5.3,27.1,15000,6000,29000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Moderate-risk or problem gambler",NA,NA,NA,NA,NA,NA,39.5,15.6,67.8,26000,10000,45000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Maori",9.8,6.6,13.8,11.5,6.4,18.5,10.6,7.5,14.5,50000,35000,68000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Pacific",13,7.3,20.9,10.1,4.4,19,11.6,7.2,17.3,26000,16000,39000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"Asian",2.1,0.4,6.1,5.8,1.4,14.8,3.8,1.4,8.3,18000,6000,38000
"ind_17","Gambling harm","Household-level gambling harm","adults",2014,"European/Other",5.2,3.6,7.3,4.9,2.9,7.8,5.1,3.7,6.7,139000,102000,185000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Least (1-3)",3.7,1.6,7.1,1.8,0.5,4.5,2.8,1.4,4.9,33000,17000,57000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Mid (4-7)",7.4,4.9,10.5,6.8,4.2,10.2,7.1,5.2,9.3,116000,86000,153000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Most (8-10)",7.7,5.8,9.9,5.4,3.3,8.1,6.5,5.1,8.2,63000,49000,79000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Total",6.3,4.9,7.9,4.9,3.5,6.6,5.6,4.6,6.8,212000,175000,256000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"15-24",6.3,3,11.3,7.8,3.5,14.8,7.1,4.2,11.1,47000,28000,74000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"25-44",9.1,6.2,12.6,5,3,7.8,7.1,5.2,9.3,87000,64000,114000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"45-64",6.1,3.9,8.9,4.3,2.2,7.3,5.2,3.7,7.2,63000,44000,86000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"65+",1.7,0.9,3.1,2.7,1.2,5.2,2.2,1.3,3.6,15000,9000,24000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Non-gambler",2.5,1.6,3.8,2.6,1.2,4.8,2.6,1.7,3.7,29000,19000,42000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Non-problem gambler",7.2,5.4,9.5,5,3.4,7.1,6.1,4.9,7.6,151000,120000,188000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Low-risk gambler",14.6,3.9,33.9,3.9,1.1,9.6,8.9,3.4,18.1,11000,4000,23000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Moderate-risk or problem gambler",39.8,17.2,66.1,33.6,10.7,64.1,35.6,18.3,56.1,20000,11000,32000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Maori",17.6,11.5,25.3,13.3,8.7,19.2,15.6,11.4,20.6,77000,57000,102000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Pacific",10.2,6.1,15.6,7.8,3.8,14.1,9,6,12.8,23000,15000,32000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"Asian",2.6,0.5,7.9,2.9,0.3,10.8,2.8,0.8,6.7,15000,4000,37000
"ind_17","Gambling harm","Household-level gambling harm","adults",2016,"European/Other",6.2,4.5,8.4,4.8,3.3,6.8,5.6,4.3,7,159000,124000,2e+05
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Least (1-3)",4.7,2.6,7.8,6.1,2.5,12.1,5.4,3.2,8.5,68000,40000,108000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Mid (4-7)",4.7,3.1,6.8,7.3,2.5,15.9,6,3.3,9.7,93000,52000,151000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Most (8-10)",10.7,6.8,15.8,8.7,4.8,14.3,9.7,6.7,13.5,107000,74000,149000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Total",6.3,4.8,8.1,7.3,4.6,10.9,6.8,5.3,8.7,268000,208000,344000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"15-24",7.1,3.3,13,11.2,2.3,30,9.2,3.7,18.2,62000,25000,123000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"25-44",8,5.2,11.6,8.1,4.3,13.6,8,5.5,11.2,104000,71000,146000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"45-64",6.6,4.4,9.4,7.1,3.3,12.9,6.8,4.6,9.7,81000,55000,116000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"65+",2.7,1.1,5.6,2.5,1,5.1,2.6,1.4,4.4,20000,11000,34000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Non-gambler",2.2,1.2,3.8,6.3,2.7,12.2,4.2,2.3,7.1,54000,29000,92000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Non-problem gambler",7.6,5.5,10.3,7.4,3.8,12.7,7.5,5.4,10.1,183000,132000,246000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Low-risk gambler",10.1,1.6,29.9,3.5,0.6,10.3,5.6,1.3,14.5,8000,2000,21000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Moderate-risk or problem gambler",NA,NA,NA,21.8,4.3,53,29.6,11.6,53.8,22000,9000,41000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Maori",15.7,11,21.3,15.4,7.8,26.2,15.5,10.6,21.7,80000,55000,112000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Pacific",11,6.3,17.5,13,5.4,25,12,6.9,18.9,32000,18000,50000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Asian",5.3,1.5,13.1,5.1,1.1,13.7,5.2,2.1,10.4,32000,13000,63000
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"European/Other",5.4,3.9,7.2,6.5,3.3,11.2,5.9,4.1,8.2,175000,122000,243000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"Least (1-3)",31.5,24,39.8,25.7,16.9,36.1,28.8,23,35.1,304000,243000,371000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"Mid (4-7)",37.1,31,43.5,33.4,27,40.2,35.3,31,39.8,481000,422000,543000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"Most (8-10)",43.3,36.7,50,44,34.1,54.3,43.6,37.9,49.5,397000,345000,450000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"Total",36.9,33,40.9,34.1,29.4,39,35.5,32.6,38.6,1182000,1084000,1284000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"15-24",44.1,33.2,55.4,35.3,24.9,46.8,39.7,32.1,47.6,241000,195000,290000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"25-44",41.8,35,48.8,36,28.9,43.7,39,34.3,43.9,461000,405000,518000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"45-64",32.5,25.9,39.5,36,28.1,44.5,34.1,28.6,40.1,357000,298000,418000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"65+",26.1,17.8,35.8,23.8,14.5,35.3,25,18.8,32,124000,93000,159000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"Maori",59,51.3,66.3,60.5,52.3,68.4,59.7,54.2,65.1,246000,223000,268000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"Pacific",53.2,43.3,62.9,56.8,43.9,68.9,54.8,47.4,62.2,92000,80000,105000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"Asian",31.5,23.2,40.7,27.2,19.5,36,29.5,23.6,35.9,85000,68000,103000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2006,"European/Other",34.3,29.6,39.2,30.9,25.2,37,32.6,29,36.4,865000,770000,964000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Least (1-3)",20.6,12.8,30.5,10.4,5.5,17.6,15.5,10.7,21.4,181000,125000,249000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Mid (4-7)",19.4,14.1,25.7,24.2,16.5,33.2,21.6,17.2,26.7,271000,215000,334000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Most (8-10)",30.5,24.4,37.2,28.4,19.7,38.4,29.5,24.4,35.1,302000,249000,359000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Total",23.2,19.3,27.4,20.5,16.5,24.9,21.9,19.2,24.8,753000,661000,855000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"15-24",31,19.8,44.1,16.2,8.2,27.6,23.5,16.8,31.4,139000,99000,185000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"25-44",25.9,18.4,34.6,22.5,15.6,30.6,24.3,19.1,30.1,284000,223000,353000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"45-64",21.9,16.2,28.5,24,16.5,32.8,22.9,18.2,28.2,259000,206000,319000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"65+",12.2,6,21.3,13.6,7.4,22.4,12.9,8.4,18.6,71000,46000,102000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Non-gambler",16.8,9.9,25.8,10,4.3,19.2,13.4,8.8,19.4,86000,56000,125000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Non-problem gambler",22.5,17.8,27.7,19.5,15.1,24.6,21.1,17.9,24.6,524000,445000,610000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Low-risk gambler",41,23,60.9,37.9,19.4,59.4,39.2,26.7,52.9,81000,55000,109000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Moderate-risk or problem gambler",53.5,29.6,76.3,60.6,32.5,84.3,57.6,39.2,74.6,62000,42000,81000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Maori",45.3,37.1,53.8,38.3,28.8,48.6,42,35.4,48.8,184000,155000,213000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Pacific",42.3,31.4,53.7,34.9,21.1,50.7,38.7,29.5,48.5,75000,57000,94000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"Asian",22,7.7,43.8,23.2,8.8,44.4,22.6,11.9,36.8,82000,43000,134000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2010,"European/Other",20.9,16.4,26,18.4,14,23.6,19.7,16.6,23.2,532000,447000,625000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Least (1-3)",10.3,6.7,14.8,6.2,3.1,10.9,8.2,5.7,11.5,78000,54000,109000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Mid (4-7)",18.6,14.9,22.8,16.8,12.6,21.7,17.8,14.7,21.1,266000,220000,317000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Most (8-10)",29.9,23.9,36.4,24.7,18.8,31.3,27.3,22.9,32.1,287000,241000,338000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Total",19.8,17.1,22.7,16.2,13.4,19.3,18.1,16,20.3,632000,560000,711000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"15-24",34.9,25,45.8,22.7,14.5,32.7,28.7,22.1,36,178000,137000,224000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"25-44",23.1,18.4,28.4,17.3,12.7,22.8,20.4,16.8,24.3,233000,193000,278000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"45-64",14.6,11.1,18.7,13.1,8.9,18.2,13.9,11.1,17.1,154000,123000,189000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"65+",8.7,5.4,13,12.8,7.8,19.4,10.7,7.6,14.5,67000,47000,90000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Non-gambler",13.3,9,18.8,12.8,8.2,18.7,13,9.4,17.4,138000,1e+05,184000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Non-problem gambler",20.2,17,23.7,15.5,12.3,19.3,18,15.6,20.7,411000,355000,472000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Low-risk gambler",67.5,40,88.3,45.8,24.7,68.1,55.4,38.5,71.4,52000,36000,68000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Moderate-risk or problem gambler",NA,NA,NA,NA,NA,NA,43.5,23.2,65.6,20000,11000,30000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Maori",38.8,31.6,46.3,33.6,25.7,42.3,36.4,30.9,42.1,164000,140000,190000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Pacific",33.7,21.3,48,27.8,19.6,37.2,30.8,23,39.5,64000,48000,82000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"Asian",21.9,13.7,32.1,15.6,5.5,32.1,19,12.1,27.6,75000,48000,110000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2012,"European/Other",17.9,15,21.1,14,10.8,17.7,16,13.8,18.5,457000,392000,528000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Least (1-3)",10.8,5.7,18.1,12.6,8,18.6,11.7,8.2,15.9,134000,94000,182000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Mid (4-7)",12.7,9.2,16.9,11,8,14.6,11.8,9.6,14.4,184000,149000,224000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Most (8-10)",18.5,14.2,23.4,18.3,11.4,27.1,18.4,14.1,23.3,163000,125000,206000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Total",13.5,11,16.4,13.2,10.7,16,13.4,11.6,15.3,481000,419000,550000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"15-24",19.9,9.4,34.7,11.4,6.7,17.7,15.5,9.9,22.7,1e+05,64000,147000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"25-44",17.1,13,21.9,18,12.5,24.6,17.5,14.1,21.4,204000,164000,248000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"45-64",11.6,8.4,15.4,10.3,6.7,15,11,8.6,13.7,120000,94000,150000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"65+",5.4,2.7,9.5,11.3,7.1,16.9,8.2,5.6,11.3,57000,39000,79000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Non-gambler",9.3,5.8,14.1,9.3,6.1,13.4,9.3,6.9,12.3,1e+05,74000,132000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Non-problem gambler",13.4,10.2,17.2,13.3,10.4,16.7,13.4,11.1,15.9,315000,262000,374000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Low-risk gambler",39.9,20.2,62.3,25.3,8.1,51.1,31.8,17.8,48.7,34000,19000,52000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Moderate-risk or problem gambler",NA,NA,NA,NA,NA,NA,47.8,23.5,72.8,32000,16000,48000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Maori",24.9,18.1,32.8,28.1,20.8,36.4,26.4,21.3,32.1,124000,1e+05,151000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Pacific",27.2,19.1,36.7,21.7,13.5,31.9,24.5,18.4,31.4,55000,41000,71000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"Asian",15.6,4.8,34.1,10.3,4.2,20.3,13,6.9,21.8,60000,32000,101000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2014,"European/Other",11.5,9.1,14.3,12.4,9.5,15.9,12,10,14.2,328000,274000,388000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Least (1-3)",8,5.1,11.8,12.7,9.1,17.1,10.2,7.8,13.1,119000,91000,152000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Mid (4-7)",12.4,9.5,15.9,12.8,9.8,16.3,12.6,10.5,15,206000,172000,245000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Most (8-10)",15.2,12.2,18.6,12.8,9.4,17,14,11.6,16.6,136000,113000,161000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Total",11.7,9.9,13.7,12.8,10.9,14.9,12.2,10.9,13.6,461000,413000,515000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"15-24",11.3,6.8,17.1,11.2,6.1,18.2,11.2,7.8,15.5,75000,52000,103000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"25-44",14.9,11.7,18.6,16.6,13,20.8,15.8,13.2,18.5,193000,162000,227000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"45-64",12.4,9.4,15.8,11.4,8.4,15,11.9,9.8,14.3,143000,117000,172000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"65+",5.1,2.9,8.4,9.9,6.3,14.4,7.5,5.4,10,51000,37000,68000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Non-gambler",5.7,3.9,8,6.8,4.1,10.5,6.2,4.6,8.2,70000,52000,93000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Non-problem gambler",13.9,11.6,16.5,14.1,11.6,16.8,14,12.3,15.9,345000,303000,391000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Low-risk gambler",18.3,6.8,36.2,25.8,12.8,42.9,22.3,13.3,33.7,28000,17000,42000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Moderate-risk or problem gambler",37.4,15.4,64.1,28,12.5,48.7,31,17.9,46.9,18000,10000,27000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Maori",24,17.9,31,26.7,20.4,33.8,25.3,20.8,30.2,126000,103000,150000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Pacific",15.3,10.7,21,21.8,14.1,31.1,18.7,13.9,24.2,47000,35000,61000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Asian",4.5,1.8,9.2,3.1,0.7,8.6,3.9,1.9,7,21000,10000,39000
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"European/Other",12.2,10,14.7,13,10.9,15.5,12.6,11,14.3,361000,316000,410000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Least (1-3)",66.9,56.2,76.5,62.5,50.4,73.5,64.7,56.4,72.3,755000,658000,845000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Mid (4-7)",58.7,49.9,67.2,56.4,45,67.4,57.7,50.2,64.9,722000,628000,813000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Most (8-10)",57.2,49.7,64.5,56.3,46.8,65.4,56.8,50.6,62.8,580000,517000,642000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Total",60.9,56,65.6,58.5,52.7,64.2,59.8,55.9,63.5,2057000,1924000,2187000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"15-24",61.1,43.6,76.7,63.4,46.3,78.4,62.3,49.8,73.6,367000,294000,434000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"25-44",63,55.1,70.4,60.8,51.2,69.8,61.9,56,67.6,726000,656000,792000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"45-64",63.8,56,71.1,55,43.6,66,59.5,52.4,66.4,674000,593000,751000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"65+",50.6,39.9,61.3,55.6,44.6,66.3,52.9,45.2,60.5,291000,248000,333000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Non-gambler",56.6,44.6,68,63,48,76.5,59.8,50.4,68.7,385000,325000,443000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Non-problem gambler",61,55.1,66.6,58.6,51.1,65.7,59.8,55,64.6,1487000,1366000,1604000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Low-risk gambler",71.8,53.6,86,49.2,28.6,70,59.1,44.8,72.3,122000,92000,149000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Moderate-risk or problem gambler",68.6,39.7,89.7,52.3,17.1,85.9,59.2,34.7,80.7,64000,37000,87000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Maori",77.3,70.3,83.3,63.3,52.8,72.9,70.6,65,75.8,309000,284000,331000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Pacific",54.4,42.8,65.6,52.5,39.9,64.9,53.5,44.7,62,104000,87000,120000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"Asian",40.4,24.8,57.5,29.5,9.2,58.5,35.1,21.3,51,127000,77000,185000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2010,"European/Other",62.7,56.9,68.1,62.9,56.4,69.1,62.8,58.4,67,1693000,1574000,1807000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2014,"Least (1-3)",43.1,33.7,52.9,38.7,29.7,48.3,41,33.8,48.4,468000,387000,553000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2014,"Mid (4-7)",38.9,33.1,44.9,35.5,28.5,43.1,37.2,32.2,42.4,579000,501000,660000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2014,"Most (8-10)",34.8,28.7,41.3,39.4,31.1,48.2,36.9,31.4,42.7,326000,277000,377000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2014,"Total",39,34.9,43.3,37.5,32.9,42.3,38.3,35,41.7,1379000,1259000,1503000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2014,"15-24",38.2,23.6,54.6,36.5,23.3,51.4,37.3,26.7,48.9,241000,173000,316000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2014,"25-44",38,32.6,43.5,36.4,29.1,44.1,37.2,32.4,42.2,432000,376000,490000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2014,"45-64",40.3,34.1,46.8,37.8,30.5,45.5,39.1,34.5,43.9,428000,377000,480000
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2014,"65+",39.5,30.7,48.8,40.1,31.8,48.9,39.8,33.4,46.4,279000,234000,325000
